super,name,price,unit,brand,sales,with_card
jumbo,Filetitos de pechuga congelado 700 g,$4.990,1 un ($7.129 x kg),Super Pollo,,
jumbo,Tuto Corto Super Pollo 800 g aprox,$2.792,800 g ($3.490 x kg),Super Pollo,,
jumbo,Filetitos de pollo 830 g,$5.390,1 un ($6.494 x kg),Super Pollo,,
jumbo,Pechuga deshuesada de pollo 700 g,$4.990,1 un ($7.129 x kg),Super Pollo,,
jumbo,Pechuga entera kg,$3.591,900 g ($3.990 x kg),Super Pollo,,
jumbo,Tuto Combinado Super Pollo 1 kg aprox,$3.490,1 kg ($3.490 x kg),Super Pollo,,
jumbo,Tuto Corto Super Pollo IQF 800 g,$2.990,1 un ($3.738 x kg),Super Pollo,,
jumbo,Bistec de pechuga deshuesada 530 g,$4.490,1 un ($8.472 x kg),Super Pollo,,
jumbo,Pechuga de pollo deshuesada kg,$5.391,900 g ($5.990 x kg),Don Pollo,,
jumbo,Cubitos de pollo congelados 500 g,$4.290,1 un ($8.580 x kg),Super Pollo,,
jumbo,Filete de pollo natural 700 g,$5.990,1 un ($8.557 x kg),Super Pollo,,
jumbo,Trutro corto de pollo kg,$3.141,900 g ($3.490 x kg),Don Pollo,,
jumbo,Pollo entero fresco granel,$9.772,2.8 kg ($3.490 x kg),Super Pollo,,
jumbo,Truto de ala de pollo 500 g,$2.590,1 un ($5.180 x kg),Super Pollo,,
jumbo,Pechuga deshuesada natural 700 g,$5.990,1 un ($8.557 x kg),Super Pollo,,
jumbo,Trutro corto pollo 700 g,$3.490,1 un ($4.986 x kg),Super Pollo,,
jumbo,Alitas sabor Barbecue Super Pollo 750 g,$3.690,1 un ($4.920 x kg),Super Pollo,,
jumbo,Trutro Largo con Piel Super Pollo 800 g,$2.990,1 un ($3.738 x kg),Super Pollo,,
jumbo,Pollo Entero con Menudencias Don Pollo envasado,$6.980,2 kg ($3.490 x kg),Don Pollo,,
jumbo,Trutro Largo Don Pollo kg,$3.141,900 g ($3.490 x kg),Don Pollo,,
jumbo,Trutro Combinado Don Pollo kg,$3.141,900 g ($3.490 x kg),Don Pollo,,
jumbo,Pollo entero sin marinar kg,$7.185,1.5 kg ($4.790 x kg),Canto del Gallo,,
jumbo,Pollo entero kg,$6.980,2 kg ($3.490 x kg),Ariztía,,
